ALC_DHAR_TEL,NA1,CISCO
ALC_DWS_RAD,NA1,CISCO
ALC_DY365,NA1,CISCO
ALC_FM_GOLD,NA1,CISCO
ALC_FMGOLD_CHAN_MUM,NA1,CISCO
ALC_FM_RAINBW,NA1,CISCO
ALC_FM_RAIN_BANG,NA1,CISCO
ALC_FM_RAIN_CHENN,NA1,CISCO
ALC_FM_FRON_TV,NA1,CISCO
ALC_GOODNS_TV,NA1,CISCO
ALC_GURU,NA1,CISCO
ALC_GYAN,NA1,CISCO
ALC_HAM_TV,NA1,CISCO
ALC_HATH_DIG,NA1,CISCO
ALC_HATH_HAR,NA1,CISCO
ALC_HATH_MAX,NA1,CISCO
ALC_HATH_MOV,NA1,CISCO
ALC_HATH_UTTR,NA1,CISCO
ALC_HBN,NA1,CISCO
ALC_HIGH_NEW,NA1,CISCO
ALC_HOTL_INF,NA1,CISCO
ALC_ILINK,NA1,CISCO
ALC_INEWS,NA1,CISCO
ALC_IMAYM,NA1,CISCO
ALC_IND_NEWS_HAR,NA1,CISCO
ALC_IND_NEWS_MP,NA1,CISCO
ALC_IND_NEW_RAJ,NA1,CISCO
ALC_IND_VIS_NEW,NA1,CISCO
ALC_ISAI,NA1,CISCO
ALC_ISHWR,NA1,CISCO
ALC_ITV_CHOIC,NA1,CISCO
ALC_JAI_HIND,NA1,CISCO
ALC_JALSA_MOV,NA1,CISCO
ALC_JANSRI,NA1,CISCO
ALC_JANO_DUNI,NA1,CISCO
ALC_JEEVN,NA1,CISCO
ALC_JINVANI,NA1,CISCO
ALC_KAIL_MOV,NA1,CISCO
ALC_KAL_SEITH,NA1,CISCO
ALC_KAST_NEWS,NA1,CISCO
ALC_KAST_TV,NA1,CISCO
ALC_KATYNI,NA1,CISCO
ALC_KAUM,NA1,CISCO
ALC_KHAB_BHAR,NA1,CISCO
ALC_KHOJ_IND,NA1,CISCO
ALC_KHUSHI,NA1,CISCO
ALC_KOL_TV,NA1,CISCO
ALC_LIFE_TV,NA1,CISCO
ALC_LOTUS,NA1,CISCO
ALC_MAUR_TV,NA1,CISCO
ALC_MCN,NA1,CISCO
ALC_MH1_NEWS,NA1,CISCO
ALC_MMV_BANG,NA1,CISCO
ALC_MMV_ENT0,NA1,CISCO
ALC_MOC,NA1,CISCO
ALC_MOV_OPERA,NA1,CISCO
ALC_MURASU,NA1,CISCO
ALC_MUS_BANG,NA1,CISCO
ALC_MUS F,NA1,CISCO
ALC_MUD,NA1,CISCO
ALC_NDTV_HIN,NA1,CISCO
ALC_NE_BANG,NA1,CISCO
ALC_NE_HI-FI,NA1,CISCO
ALC_NEW_HOPE,NA1,CISCO
ALC_NEWS9,NA1,CISCO
ALC_NEWS_ASSAM,NA1,CISCO
ALC_NHK_JAP,NA1,CISCO
ALC_NHK_WORLD,NA1,CISCO
ALC_OM_BANG,NA1,CISCO
ALC_ONKAR,NA1,CISCO
ALC_P7_NEWS,P7,CISCO
ALC_PEAR_NCR_TV,NA1,CISCO
ALC_PEOPLE,NA1,CISCO
ALC_POLIMER,NA1,CISCO
ALC_POLI_KANN,NA1,CISCO
ALC_POW_VIS,NA1,CISCO
ALC_PRAG_NEWS,NA1,CISCO
ALC_PRAG_TV,NA1,CISCO
ALC_PROM,NA1,CISCO
ALC_PUB_TV,NA1,CISCO
ALC_PUTH_YUGAM,NA1,CISCO
ALC_RPLUS,NA1,CISCO
ALC_RAD_FM_GOLD,NA1,CISCO
ALC_RAD_FRAN_INT,NA1,CISCO
ALC_RAD_KANN,NA1,CISCO
ALC_RAD_KASH,NA1,CISCO
ALC_RAD_MALA,NA1,CISCO
ALC_RAD_PUN,NA1,CISCO
ALC_RAD_TAM,NA1,CISCO
ALC_RAD_TEL,NA1,CISCO
