#MAIN_PLAN,ADDITIONAL_PLAN,PKG_TYPE
JAIPUR DIGITAL POPULAR PACKAGE ADV,JAIPUR ADDITIONAL DIGITAL POPULAR PACKAGE ADV,0
JAIPUR DIGITAL PREMIUM PACKAGE,JAIPUR ADDITIONAL DIGITAL PREMIUM PACKAGE,0
JAIPUR DIGITAL PREMIUM PACKAGE ADV,JAIPUR ADDITIONAL DIGITAL PREMIUM PACKAGE ADV,0
JAIPUR DIGITAL PREMIUM PLUS PACKAGE,JAIPUR ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE,0
JAIPUR DIGITAL PREMIUM PLUS PACKAGE ADV,JAIPUR ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE ADV,0
JAIPUR PRIME PP 12M,JAIPUR ADDITIONAL PRIME PP 12M,0
JAIPUR PRIME PP 1M,JAIPUR ADDITIONAL PRIME PP 1M,0
JAIPUR PRIME PP 3M,JAIPUR ADDITIONAL PRIME PP 3M,0
JAIPUR PRIME PP 6M,JAIPUR ADDITIONAL PRIME PP 6M,0
JAIPUR PRIME SP 12M,JAIPUR ADDITIONAL PRIME SP 12M,0
JAIPUR PRIME SP 1M,JAIPUR ADDITIONAL PRIME SP 1M,0
JAIPUR PRIME SP 3M,JAIPUR ADDITIONAL PRIME SP 3M,0
JAIPUR PRIME SP 6M,JAIPUR ADDITIONAL PRIME SP 6M,0
JAIPUR ROYAL HD PP 12M,JAIPUR ADDITIONAL ROYAL HD PP 12M,0
JAIPUR ROYAL HD PP 1M,JAIPUR ADDITIONAL ROYAL HD PP 1M,0
JAIPUR ROYAL HD PP 3M,JAIPUR ADDITIONAL ROYAL HD PP 3M,0
JAIPUR ROYAL HD PP 6M,JAIPUR ADDITIONAL ROYAL HD PP 6M,0
JAIPUR ROYAL HD SP 12M,JAIPUR ADDITIONAL ROYAL HD SP 12M,0
JAIPUR ROYAL HD SP 1M,JAIPUR ADDITIONAL ROYAL HD SP 1M,0
JAIPUR ROYAL HD SP 3M,JAIPUR ADDITIONAL ROYAL HD SP 3M,0
JAIPUR ROYAL HD SP 6M,JAIPUR ADDITIONAL ROYAL HD SP 6M,0
JAIPUR ROYAL PP 12M,JAIPUR ADDITIONAL ROYAL PP 12M,0
JAIPUR ROYAL PP 1M,JAIPUR ADDITIONAL ROYAL PP 1M,0
JAIPUR ROYAL PP 3M,JAIPUR ADDITIONAL ROYAL PP 3M,0
JAIPUR ROYAL PP 6M,JAIPUR ADDITIONAL ROYAL PP 6M,0
JAIPUR ROYAL SP 12M,JAIPUR ADDITIONAL ROYAL SP 12M,0
JAIPUR ROYAL SP 1M,JAIPUR ADDITIONAL ROYAL SP 1M,0
JAIPUR ROYAL SP 3M,JAIPUR ADDITIONAL ROYAL SP 3M,0
JAIPUR ROYAL SP 6M,JAIPUR ADDITIONAL ROYAL SP 6M,0
KARNATAKA BASIC SERVICE TIER PP 12M,KARNATAKA ADDITIONAL BASIC SERVICE TIER PP 12M,0
KARNATAKA BASIC SERVICE TIER PP 1M,KARNATAKA ADDITIONAL BASIC SERVICE TIER PP 1M,0
KARNATAKA BASIC SERVICE TIER PP 3M,KARNATAKA ADDITIONAL BASIC SERVICE TIER PP 3M,0
KARNATAKA BASIC SERVICE TIER PP 6M,KARNATAKA ADDITIONAL BASIC SERVICE TIER PP 6M,0
KARNATAKA BASIC SERVICE TIER SP 12M,KARNATAKA ADDITIONAL BASIC SERVICE TIER SP 12M,0
KARNATAKA BASIC SERVICE TIER SP 1M,KARNATAKA ADDITIONAL BASIC SERVICE TIER SP 1M,0
KARNATAKA BASIC SERVICE TIER SP 3M,KARNATAKA ADDITIONAL BASIC SERVICE TIER SP 3M,0
KARNATAKA BASIC SERVICE TIER SP 6M,KARNATAKA ADDITIONAL BASIC SERVICE TIER SP 6M,0
KARNATAKA PRIME PP 12M,KARNATAKA ADDITIONAL PRIME PP 12M,0
KARNATAKA PRIME PP 1M,KARNATAKA ADDITIONAL PRIME PP 1M,0
KARNATAKA PRIME PP 3M,KARNATAKA ADDITIONAL PRIME PP 3M,0
KARNATAKA PRIME PP 6M,KARNATAKA ADDITIONAL PRIME PP 6M,0
KARNATAKA PRIME SP 12M,KARNATAKA ADDITIONAL PRIME SP 12M,0
KARNATAKA PRIME SP 1M,KARNATAKA ADDITIONAL PRIME SP 1M,0
KARNATAKA PRIME SP 3M,KARNATAKA ADDITIONAL PRIME SP 3M,0
KARNATAKA PRIME SP 6M,KARNATAKA ADDITIONAL PRIME SP 6M,0
KARNATAKA ROYAL HD PP 12M,KARNATAKA ADDITIONAL ROYAL HD PP 12M,0
KARNATAKA ROYAL HD PP 1M,KARNATAKA ADDITIONAL ROYAL HD PP 1M,0
KARNATAKA ROYAL HD PP 3M,KARNATAKA ADDITIONAL ROYAL HD PP 3M,0
KARNATAKA ROYAL HD PP 6M,KARNATAKA ADDITIONAL ROYAL HD PP 6M,0
KARNATAKA ROYAL HD SP 12M,KARNATAKA ADDITIONAL ROYAL HD SP 12M,0
KARNATAKA ROYAL HD SP 1M,KARNATAKA ADDITIONAL ROYAL HD SP 1M,0
KARNATAKA ROYAL HD SP 3M,KARNATAKA ADDITIONAL ROYAL HD SP 3M,0
KARNATAKA ROYAL HD SP 6M,KARNATAKA ADDITIONAL ROYAL HD SP 6M,0
KARNATAKA ROYAL PP 12M,KARNATAKA ADDITIONAL ROYAL PP 12M,0
